dataset,neighbours,accuracy_sk,accuracy_mod,roc_auc_sk,roc_auc_mod
3902,3,0.8518705715635333,0.8634955125177137,0.5555274714052287,0.5787147671568629
3902,7,0.8628389230042514,0.8621398205007086,0.5203788807189543,0.5005642361111111
3902,11,0.8669485120453473,0.8717524799244213,0.5155611723856209,0.4988715277777777
9952,3,0.9021089203806394,0.8608417197234202,0.8719048674492225,0.824264335641279
9952,7,0.9019278428150888,0.8480786609159991,0.8710506580383914,0.80419712359402
9952,11,0.9006298350106112,0.8477048675292668,0.8699408299051932,0.8042872589899149
31,3,0.619,0.631,0.5145238095238096,0.5240476190476191
31,7,0.6519999999999999,0.6559999999999999,0.5247619047619048,0.5228571428571429
31,11,0.6639999999999999,0.6689999999999999,0.521904761904762,0.5311904761904762
125920,3,0.9519999999999996,0.966,0.5417091836734694,0.596875
125920,7,0.964,0.964,0.4989583333333333,0.4989583333333333
125920,11,0.966,0.966,0.5,0.5
3549,3,0.9345238095238096,0.9321428571428572,0.958355947535052,0.9524849016947348
3549,7,0.9333333333333332,0.9333333333333332,0.9554147710644636,0.955426078165323
3549,11,0.9333333333333332,0.9321428571428572,0.9554147710644636,0.9524735945938756
146819,3,0.9277777777777776,0.9444444444444444,0.6019591836734695,0.7274591836734694
146819,7,0.9314814814814816,0.9388888888888888,0.6179795918367347,0.6719591836734694
146819,11,0.9166666666666669,0.9388888888888892,0.519,0.6489795918367347
3560,3,0.8559018987341773,0.8899841772151899,0.77593593120371,0.9152723374079826
3560,7,0.8759335443037974,0.8549683544303797,0.7713164944508228,0.8852308029985817
3560,11,0.890996835443038,0.8311234177215191,0.7569370342855856,0.8577784156142364
9971,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9971,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9971,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
146822,3,0.9753246753246751,0.9554112554112552,0.9603535353535352,0.9045454545454548
146822,7,0.974025974025974,0.9476190476190476,0.9532828282828284,0.8936868686868686
146822,11,0.971861471861472,0.9437229437229436,0.9482323232323232,0.8977272727272728
9978,3,0.9234446484703248,0.90565030655753,0.533642032762472,0.5620316322731624
9978,7,0.9356727148236906,0.9222417602937972,0.5139398955784845,0.5271704251320781
9978,11,0.9360695278702812,0.9372599670100528,0.5024938614686381,0.5235285253341843
3913,3,0.7660014513788098,0.7871552975326561,0.6181121317706684,0.6265177911519375
3913,7,0.7774673439767781,0.8197024673439767,0.6215906451272305,0.673084151620737
3913,11,0.7869375907111757,0.8349419448476052,0.6308980044345899,0.6714697497624327
9976,3,0.7026923076923077,0.8065384615384616,0.7026923076923077,0.8065384615384616
9976,7,0.7346153846153847,0.8238461538461538,0.7346153846153847,0.8238461538461538
9976,11,0.75,0.8334615384615385,0.75,0.8334615384615385
10093,3,1.0,0.9970855812969428,1.0,0.9972151877458176
10093,7,1.0,0.9912461652385488,1.0,0.991304920273859
10093,11,1.0,0.9941658732677456,1.0,0.9942600540098384
37,3,0.7004784688995216,0.8111756664388243,0.6662820512820513,0.7816666666666666
37,7,0.73703007518797,0.8177717019822281,0.6907321937321936,0.7842535612535613
37,11,0.7382946001367054,0.8190362269309638,0.6932934472934473,0.7877378917378918
3917,3,0.7529970661250281,0.7529902956443241,0.558247662623663,0.5430625508823088
3917,7,0.7923583841119386,0.8084698713608667,0.5550972927996302,0.5609215576691529
3917,11,0.8274339878131347,0.8241119386143083,0.5695582173264249,0.5576721248642346
3022,3,0.977777777777778,0.9646464646464648,0.9127777777777778,0.8305555555555555
3022,7,0.9757575757575758,0.9555555555555556,0.8866666666666667,0.7955555555555555
3022,11,0.9707070707070709,0.9464646464646466,0.8638888888888889,0.7705555555555554
3,3,0.9251969043887148,0.9690086206896552,0.9240223450732415,0.9675460096319228
3,7,0.933326802507837,0.9561706504702194,0.932595022942291,0.954123667010664
3,11,0.9145601489028214,0.9602409874608148,0.9137875656175184,0.9583892328861368
45,3,0.8573667711598745,0.9689655172413794,0.8613993125545216,0.9677977251506664
45,7,0.8699059561128527,0.9664576802507836,0.8740793374670058,0.965230031406502
45,11,0.883385579937304,0.9648902821316614,0.8872206166146634,0.963619387148799
3918,3,0.9053562653562656,0.9197706797706798,0.5755734556705431,0.5536154379600982
3918,7,0.9206715806715806,0.9332923832923834,0.5541102101781713,0.5666615544649526
3918,11,0.926986076986077,0.9296805896805898,0.557503600768164,0.5243725328069988
43,3,0.7993982835046686,0.8046123738564557,0.7912894631367082,0.7845188981863602
43,7,0.8011374139394511,0.7991804206356692,0.7928211006295679,0.7773254471876719
43,11,0.7935343770630954,0.8020065075921909,0.7837590671957646,0.7793638319518239
9910,3,0.7587340425531914,0.7768652482269504,0.7560286493077513,0.7743875354415883
9910,7,0.7555354609929078,0.7739304964539008,0.7515796809586115,0.770028929423737
9910,11,0.7499304964539008,0.7669971631205674,0.7454723445956275,0.763187547208982
10101,3,0.6326306306306307,0.6352792792792793,0.4991916064671482,0.5272273821809426
10101,7,0.6526306306306308,0.6647027027027027,0.5061575507395941,0.508513931888545
10101,11,0.6606486486486487,0.6967567567567569,0.5076195390436876,0.5392328861369109
9946,3,0.9296992481203008,0.931484962406015,0.9186904761904762,0.921955266955267
9946,7,0.9262218045112782,0.9332706766917293,0.9148520923520924,0.9226082251082252
9946,11,0.9297619047619048,0.9333020050125314,0.9198304473304472,0.9208802308802309
49,3,0.9979166666666666,0.9697697368421052,0.9970588235294118,0.9568627450980394
49,7,0.9958333333333332,0.9468201754385964,0.9947945845004668,0.9238413547237077
49,11,0.975953947368421,0.9144846491228072,0.9682157711569476,0.8771390374331551
53,3,0.9492436974789916,0.9409243697478992,0.9408653846153844,0.928162955465587
53,7,0.944467787114846,0.9373109243697476,0.9272722672064776,0.9173450151821864
53,11,0.9326610644257703,0.9195518207282914,0.9125253036437246,0.8897868168016195
3903,3,0.8662787849093581,0.8713865752082313,0.5683668946301925,0.5462930597771023
3903,7,0.8899395721051772,0.888024661113833,0.5510891590678824,0.5389488348530901
3903,11,0.8931569492079048,0.8899559039686429,0.5334998733535967,0.5068009118541033
11,3,0.9345878136200716,0.883358934971838,0.9374992316675888,0.8848662662557185
11,7,0.9331029185867894,0.939400921658986,0.9372963919109965,0.943716577540107
11,11,0.9154377880184332,0.9250128008192524,0.9194203700288892,0.9304367201426028
9957,3,0.8150494159928122,0.8178706199460916,0.8059868875086267,0.8059972394755004
9957,7,0.8140341419586703,0.824492362982929,0.8050258799171843,0.8096187025534851
9957,11,0.8102246181491465,0.8254537286612758,0.806304347826087,0.8193616287094547
146817,3,0.8469997356595295,0.8639862542955328,0.4764921394395078,0.4788685064935065
146817,7,0.8820274914089348,0.8948982289188475,0.4912143711551606,0.4960016233766234
146817,11,0.8907850911974624,0.900568332011631,0.4937224025974026,0.4991444805194804
14952,3,0.9597384075343868,0.9565740960454288,0.9586164836549342,0.9549605148739948
14952,7,0.9598293143937224,0.94671483393747,0.9586168344883422,0.9451493179604216
14952,11,0.9600103916931916,0.9438236521482984,0.958757861421336,0.942489882626156
